FrameId	Name	Kegg	InChI	Smiles	Gibbs-0	cpd	nC
D-ERYTHRULOSE	D-erythrulose	C02022	InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h3,5-7H,1-2H2/t3-/m1/s1	C(O)C(O)C(=O)CO	-62.411037	./dsgdb9nsd_008901.xyz	4
CPD-18912	4-fluorophenol	C16485	InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H	C1(C(F)=CC=C(C=1)O)	0.47559905	./dsgdb9nsd_023714.xyz	6
CPD-19752	4-fluorocatechol	C16473	InChI=1S/C6H5FO2/c7-4-1-2-5(8)6(9)3-4/h1-3,8-9H	C1(C(F)=CC(O)=C(C=1)O)	-39.004406	./dsgdb9nsd_132668.xyz	6
CPD-10613	3-fluorocatechol	C16472	InChI=1S/C6H5FO2/c7-4-2-1-3-5(8)6(4)9/h1-3,8-9H	C1(C=C(O)C(O)=C(F)C=1)	-39.004406	./dsgdb9nsd_132806.xyz	6
CPD-20037	propylbenzene	NIL	InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3	CCCC1(C=CC=CC=1)	158.12346000000002	./dsgdb9nsd_032983.xyz	9
CPD0-2360	cumene	C14396	InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3	CC(C)C1(=CC=CC=C1)	156.31346000000002	./dsgdb9nsd_026264.xyz	9
PHENYL	acetophenone	C07113	InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3	CC(=O)C1(C=CC=CC=1)	80.16897	./dsgdb9nsd_025831.xyz	8
META-XYLENE	<i>m</i>-xylene	C07208	InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3	CC1(C=CC=C(C=1)C)	132.71121000000002	./dsgdb9nsd_004336.xyz	8
CPD-16720	toluquinol	NIL	InChI=1S/C7H8O2/c1-5-4-6(8)2-3-7(5)9/h2-4,8-9H,1H3	CC1(=CC(O)=CC=C(O)1)	31.15897	./dsgdb9nsd_028417.xyz	7
CPD-13594	p-toluidine	NIL	InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3	CC1(=CC=C(N)C=C1)	124.45008999999999	./dsgdb9nsd_004564.xyz	7
BENZENE	benzene	C01407	InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	C1(C=CC=CC=1)	91.38673	./dsgdb9nsd_000214.xyz	6
CPD-1421	<i>o</i>-xylene	C07212	InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3	CC1(C=CC=CC(C)=1)	132.71121000000002	./dsgdb9nsd_004958.xyz	8
CPD-14170	2-ethylphenol	C14385	InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3	CCC1(C=CC=CC(O)=1)	92.8012	./dsgdb9nsd_032204.xyz	8
TOLUENE	toluene	C01455	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3	CC1(C=CC=CC=1)	113.79897	./dsgdb9nsd_000930.xyz	7
CPD-19468	isocyanurate	NIL	InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)	C1(NC(NC(=O)N1)=O)=O	-85.796646	./dsgdb9nsd_024870.xyz	3
CPD-19468	isocyanurate	NIL	InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)	C1(NC(NC(=O)N1)=O)=O	-85.796646	./dsgdb9nsd_027919.xyz	3
CYANURIC-ACID	cyanurate	C06554	InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)	C1(O)(=NC(O)=NC(O)=N1)	-62.27664	./dsgdb9nsd_024870.xyz	3
CYANURIC-ACID	cyanurate	C06554	InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)	C1(O)(=NC(O)=NC(O)=N1)	-62.27664	./dsgdb9nsd_027919.xyz	3
BENZENE-NO2	nitrobenzene	C06813	InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H	C1(=CC=C(C=C1)[N+]([O-])=O)	17.355601999999998	./dsgdb9nsd_131915.xyz	6
CPD-1422	<i>p</i>-xylene	C06756	InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3	CC1(C=CC(C)=CC=1)	132.71121000000002	./dsgdb9nsd_004563.xyz	8
ETHYLBENZENE	ethylbenzene	C07111	InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3	CCC1(C=CC=CC=1)	135.96121000000002	./dsgdb9nsd_005379.xyz	8
CPD-10596	1-ethyl-4-hydroxybenzene	C13637	InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3	CCC1(C=CC(O)=CC=1)	92.8012	./dsgdb9nsd_031803.xyz	8
CPD-9147	2-amino-5-methylphenol	NIL	InChI=1S/C7H9NO/c1-5-2-3-6(8)7(9)4-5/h2-4,9H,8H2,1H3	CC1(=CC=C(N)C(O)=C1)	84.97009	./dsgdb9nsd_028431.xyz	7
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_024867.xyz	3
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_027394.xyz	3
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_027505.xyz	3
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_027509.xyz	3
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_027859.xyz	3
CPD-7399	ammeline	C08733	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	C1(=NC(N)=NC(N1)=O)(N)	23.2056	./dsgdb9nsd_027914.xyz	3
CPD-17683	benzamide	C09815	InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)	C(N)(=O)C1(C=CC=CC=1)	61.28784	./dsgdb9nsd_025843.xyz	7
CPD-15520	carbapenem	NIL	InChI=1S/C6H7NO/c8-6-4-5-2-1-3-7(5)6/h1,3,5H,2,4H2/t5-/m1/s1	C1(C[CH]2(CC(=O)N(C=1)2))	65.77784	./dsgdb9nsd_018546.xyz	6
DIHYDROXYACETONE	dihydroxyacetone	C00184	InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2	C(C(CO)=O)O	-44.77328	./dsgdb9nsd_000367.xyz	3
2-HYDROXY-2-METHYLPROPANENITRILE	2-hydroxy-2-methylpropanenitrile	C02659	InChI=1S/C4H7NO/c1-4(2,6)3-5/h6H,1-2H3	CC(O)(C)C#N	39.717842	./dsgdb9nsd_000223.xyz	4
CPD-12700	(2S)-2-hydroxy-2-methylbutanenitrile	C18796	InChI=1S/C5H9NO/c1-3-5(2,7)4-6/h7H,3H2,1-2H3/t5-/m1/s1	CCC(C)(O)C#N	61.880095999999995	./dsgdb9nsd_001178.xyz	5
CPD-15121	5-fluorocytosine	D00323	InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)	C1(=C(F)C(N)=NC(=O)N1)	-31.345518	./dsgdb9nsd_132110.xyz	4
CPD-15121	5-fluorocytosine	D00323	InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)	C1(=C(F)C(N)=NC(=O)N1)	-31.345518	./dsgdb9nsd_132648.xyz	4
CPD-15121	5-fluorocytosine	D00323	InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)	C1(=C(F)C(N)=NC(=O)N1)	-31.345518	./dsgdb9nsd_132924.xyz	4
CPD-15121	5-fluorocytosine	D00323	InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)	C1(=C(F)C(N)=NC(=O)N1)	-31.345518	./dsgdb9nsd_132936.xyz	4
GLYCYLGLYCINE	glycyl-glycine	C02037	InChI=1S/C4H8N2O3/c5-1-3(7)6-2-4(8)9/h1-2,5H2,(H,6,7)(H,8,9)	C([N+])C(=O)NCC([O-])=O	-42.161034	./dsgdb9nsd_099253.xyz	4
ERYTHROSE	D-erythrose	NIL	InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2/t3-,4+/m0/s1	[CH](=O)C(O)C(O)CO	-60.83104	./dsgdb9nsd_008943.xyz	4
CPD0-2167	5-deoxy-D-ribose	NIL	InChI=1S/C5H10O4/c1-3(7)5(9)4(8)2-6/h2-5,7-9H,1H3/t3-,4+,5-/m1/s1	CC(O)C(O)C(O)C=O	-40.598793	./dsgdb9nsd_058225.xyz	5
2-DEOXYRIBOSE	2'-deoxyribose	C01801	InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1	C(O)C(O)C(O)C[CH]=O	-38.788803	./dsgdb9nsd_100842.xyz	5
GLYCERALD	D-glyceraldehyde	C00577	InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2/t3-/m0/s1	[CH](=O)C(O)CO	-42.973278	./dsgdb9nsd_000389.xyz	3
CPD-16991	3-methyl-hexane-2,5-dione	NIL	InChI=1S/C7H12O2/c1-5(7(3)9)4-6(2)8/h5H,4H2,1-3H3/t5-/m0/s1	CC(C(C)=O)CC(=O)C	62.20345	./dsgdb9nsd_061411.xyz	7
ACETONE	acetone	C00207	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CC(=O)C	23.456723999999998	./dsgdb9nsd_000018.xyz	3
MEK	butan-2-one	C02845	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	CCC(C)=O	48.088966	./dsgdb9nsd_000072.xyz	4
HYDROQUINONE	hydroquinone	C00530	InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H	C1(=CC(O)=CC=C(O)1)	12.246721	./dsgdb9nsd_004591.xyz	6
ETHYLACETATE	ethyl acetate	C00849	InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	CCOC(=O)C	1.4689648000000002	./dsgdb9nsd_000265.xyz	4
CPD-19626	3-methylbutyl acetate	C12296	InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3	CC(C)CCOC(C)=O	65.86569	./dsgdb9nsd_060424.xyz	7
CPD-18998	propyl acetate	NIL	InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3	CCCOC(=O)C	23.351204	./dsgdb9nsd_001279.xyz	5
CPD-19628	isobutyl acetate	NIL	InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3	CC(C)COC(=O)C	43.70344	./dsgdb9nsd_006091.xyz	6
CPD-13346	butyl acetate	C12304	InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3	CCCCOC(=O)C	45.513447	./dsgdb9nsd_006771.xyz	6
CPD-15782	methyl propanoate	NIL	InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3	CCC(=O)OC	1.1889602	./dsgdb9nsd_000361.xyz	4
PHENYLACETALDEHYDE	phenylacetaldehyde	C00601	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2	[CH](=O)CC1(=CC=CC=C1)	84.98897	./dsgdb9nsd_025494.xyz	8
BENZALDEHYDE	benzaldehyde	C00261	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	C(=O)C1(=CC=CC=C1)	61.276726000000004	./dsgdb9nsd_005357.xyz	7
CPD-8773	4-methylbenzaldehyde	C06758	InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3	CC1(C=CC(C=O)=CC=1)	80.188965	./dsgdb9nsd_028614.xyz	8
CPD-19956	butyl propanoate	NIL	InChI=1S/C7H14O2/c1-3-5-6-9-7(8)4-2/h3-6H2,1-2H3	CCCCOC(=O)CC	67.67568	./dsgdb9nsd_122827.xyz	7
CPD-8774	3-methylbenzaldehyde	C07209	InChI=1S/C8H8O/c1-7-3-2-4-8(5-7)6-9/h2-6H,1H3	CC1(C=CC=C(C=O)C=1)	80.188965	./dsgdb9nsd_027944.xyz	8
CPD-19958	ethyl propanoate	NIL	InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	CCC(=O)OCC	23.351204	./dsgdb9nsd_001524.xyz	5
CPD-14605	2-morpholinoethanol	NIL	InChI=1S/C6H13NO2/c8-4-1-7-2-5-9-6-3-7/h8H,1-6H2	C(N1(CCOCC1))CO	93.48456999999999	./dsgdb9nsd_121421.xyz	6
BENZYL-ALCOHOL	benzyl alcohol	C00556	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	C(C1(C=CC=CC=1))O	75.56896	./dsgdb9nsd_005408.xyz	7
3-METHYLBENZYL-ALCOHOL	3-methylbenzyl alcohol	C07216	InChI=1S/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3	CC1(C=C(C=CC=1)CO)	92.8012	./dsgdb9nsd_032071.xyz	8
4-METHYLBENZYL-ALCOHOL	4-methylbenzyl alcohol	C06757	InChI=1S/C8H10O/c1-7-2-4-8(6-9)5-3-7/h2-5,9H,6H2,1H3	CC1(C=CC(=CC=1)CO)	92.8012	./dsgdb9nsd_031794.xyz	8
HYDANTOIN	hydantoin	C05146	InChI=1S/C3H4N2O2/c6-2-1-4-3(7)5-2/h1H2,(H2,4,5,6,7)	C1(NC(CN1)=O)=O	-32.175518	./dsgdb9nsd_001836.xyz	3
CPD-16173	anthranil	NIL	InChI=1S/C7H5NO/c1-2-4-7-6(3-1)5-9-8-7/h1-5H	C1(ON=C2(C=1C=CC=C2))	41.576607	./dsgdb9nsd_130464.xyz	7
CPD-4864	2-methylpropanenitrile	C02420	InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3	CC(C#N)C	79.17784	./dsgdb9nsd_000064.xyz	4
CPD-12327	n-butyronitrile	NIL	InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3	CCCC#N	80.98784	./dsgdb9nsd_000122.xyz	4
CPD-8862	valeronitrile	NIL	InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3	CCCCC#N	103.15009	./dsgdb9nsd_000526.xyz	5
CPD-15584	cyclopropyl cyanide	NIL	InChI=1S/C4H5N/c5-3-4-1-2-4/h4H,1-2H2	C(#N)C1(CC1)	86.45561	./dsgdb9nsd_000142.xyz	4
SALICYLALDEHYDE	salicylaldehyde	C06202	InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H	C1(C=CC(O)=C([CH]=O)C=1)	21.79672	./dsgdb9nsd_029017.xyz	7
CPD-15582	benzonitrile	C09814	InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	C(#N)C1(=CC=CC=C1)	92.455605	./dsgdb9nsd_005347.xyz	7
PHENYLACETONITRILE	phenylacetonitrile	C16074	InChI=1S/C8H7N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6H2	C1(C=CC(=CC=1)CC#N)	114.61783999999999	./dsgdb9nsd_024034.xyz	8
CPD0-2375	4-hydroxy-L-<i>allo</i>-threonine	NIL	InChI=1S/C4H9NO4/c5-3(4(8)9)2(7)1-6/h2-3,6-7H,1,5H2,(H,8,9)/t2-,3-/m0/s1	C(O)C(O)C([N+])C(=O)[O-]	-68.12991	./dsgdb9nsd_100743.xyz	4
4-HYDROXY-L-PROLINE	<i>trans</i>-4-hydroxy-L-proline	NIL	InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1	C1([N+]C(C(=O)[O-])CC(O)1)	-16.119907	./dsgdb9nsd_093943.xyz	5
CPD-8130	hydroxyquinol	C02814	InChI=1S/C6H6O3/c7-4-1-2-5(8)6(9)3-4/h1-3,7-9H	C1(C=C(C(=CC(O)=1)O)O)	-27.233282	./dsgdb9nsd_028543.xyz	6
ERYTHRITOL	erythritol	NIL	InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+	C(C(C(CO)O)O)O	-49.888813	./dsgdb9nsd_008958.xyz	4
CH4	methane	C01438	InChI=1S/CH4/h1H4	C	32.774483000000004	./dsgdb9nsd_000001.xyz	1
CPD-9312	ethane	NIL	InChI=1S/C2H6/c1-2/h1-2H3	CC	57.456726	./dsgdb9nsd_000007.xyz	2
CPD-18984	propane	NIL	InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	CCC	80.16897	./dsgdb9nsd_000013.xyz	3
CPD-18985	butane	NIL	InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	CCCC	102.33121	./dsgdb9nsd_000039.xyz	4
CPD-9285	pentane	NIL	InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3	CCCCC	125.45345	./dsgdb9nsd_000133.xyz	5
CPD-19039	2,2,4-trimethylpentane	NIL	InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3	CC(C)CC(C)(C)C	184.13019	./dsgdb9nsd_005806.xyz	8
CPD-19056	isobutane	D04623	InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3	CC(C)C	100.5212	./dsgdb9nsd_000021.xyz	4
CYCLOHEXANE-13-DIONE	cyclohexane-1,3-dione	C01066	InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h1-4H2	C1(CC(=O)CC(C1)=O)	34.688965	./dsgdb9nsd_007723.xyz	6
CPD-148	n-octane	C01387	InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3	CCCCCCCC	190.9802	./dsgdb9nsd_014788.xyz	8
CPD-9284	n-nonane	NIL	InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3	CCCCCCCCC	213.14241	./dsgdb9nsd_123246.xyz	9
CPD-9288	n-hexane	C11271	InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3	CCCCCC	146.65569	./dsgdb9nsd_000543.xyz	6
CPD-8923	cyclohexane	C11249	InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2	C1(CCCCC1)	146.01346	./dsgdb9nsd_000658.xyz	6
CPD-9286	n-heptane	NIL	InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3	CCCCCCC	168.81793000000002	./dsgdb9nsd_002720.xyz	7
CPD-298	<i>N</i>-methyl-L-alanine	C02721	InChI=1S/C4H9NO2/c1-3(5-2)4(6)7/h3,5H,1-2H3,(H,6,7)/t3-/m0/s1	CC([N+]C)C(=O)[O-]	13.070086	./dsgdb9nsd_001680.xyz	4
CPD-3573	methyl pyruvate	NIL	InChI=1S/C4H6O3/c1-3(5)4(6)7-2/h1-2H3	CC(=O)C(=O)OC	-46.913284000000004	./dsgdb9nsd_001651.xyz	4
CPD-8891	(<i>R</i>)-propane-1,2-diol	C02912	InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1	CC(CO)O	2.2189650000000003	./dsgdb9nsd_000082.xyz	3
