index	$\Delta G^\circ_f(DFT)$	$\Delta G^\circ_f$(MPNNv2,chemgraph)
CPD-14605	-441.50474	-439.5263977050781
CPD-148	-315.531757	-319.19549560546875
CPD-15121	-494.133814	-493.01715087890625
CPD-15143	-421.920391	-424.35333251953125
CPD-15163	-190.650543	-191.32447814941406
CPD-15381	-460.247896	-459.5382080078125
CPD-15491	-229.995393	-232.86708068847656
CPD-15508	-457.857736	-458.47796630859375
CPD-15520	-362.714832	-364.83990478515625
CPD-15521	-385.028563	-386.5509033203125
CPD-15582	-324.443468	-321.8219909667969
CPD-15584	-210.098937	-209.2508544921875
CPD-15782	-307.642398	-304.21722412109375
CPD-16	-457.866682	-457.8970642089844
CPD-16172	-400.862558	-400.1785888671875
CPD-16173	-399.616727	-400.208984375
CPD-16608	-386.010992	-388.3288269042969
CPD-16609	-386.009336	-388.781005859375
CPD-16720	-421.933715	-423.0144348144531
CPD-16938	-399.895338	-401.2328796386719
CPD-16991	-424.317176	-423.9781188964844
CPD-17100	-456.644436	-456.75537109375
CPD-173	-421.921948	-424.5879211425781
CPD-17683	-400.886953	-399.4541320800781
CPD-17722	-440.368662	-439.00274658203125
CPD-17880	-362.989148	-358.4957580566406
CPD-18016	-470.111359	-471.2036437988281
CPD-18017	-489.99039	-490.5003662109375
CPD-18280	-386.00875	-388.80157470703125
CPD-18732	-264.533633	-264.65106201171875
CPD-18883	-400.864221	-403.0811767578125
CPD-18912	-406.66287	-403.8968505859375
CPD-18953	-326.833506	-330.21502685546875
CPD-18956	-346.918999	-344.24176025390625
CPD-18957	-307.62831	-304.24151611328125
CPD-18958	-268.337439	-265.626953125
CPD-18959	-229.041086	-228.21820068359375
CPD-18984	-119.078157	-119.87570190429688
CPD-18985	-158.36894	-173.769287109375
CPD-18987	-231.184401	-230.76681518554688
CPD-18988	-389.571391	-389.6725769042969
CPD-18998	-346.937865	-343.5924377441406
CPD-19003	-153.766642	-154.15206909179688
CPD-19010	-232.364091	-229.80833435058594
CPD-19011	-272.867062	-271.12371826171875
CPD-19012	-233.589759	-240.16041564941406
CPD-19013	-308.800675	-305.2351989746094
CPD-19037	-307.613529	-302.0859069824219
CPD-19039	-315.525805	-317.6535949707031
CPD-19042	-362.978979	-355.71148681640625
CPD-19044	-346.923014	-343.2928466796875
CPD-19056	-158.370016	-162.40826416015625
CPD-19059	-272.878675	-274.6160888671875
CPD-19080	-233.585602	-236.65773010253906
CPD-19083	-272.876391	-272.961181640625
CPD-19085	-348.0892	-345.47015380859375
CPD-19088	-346.904195	-345.53546142578125
CPD-19237	-248.474272	-251.19020080566406
CPD-19460	-193.060777	-199.1012725830078
CPD-19526	-440.374625	-439.1037292480469
CPD-19547	-399.832852	-402.09637451171875
CPD-19558	-116.633775	-115.99734497070312
CPD-19560	-347.635547	-349.69384765625
CPD-19607	-286.571234	-282.45367431640625
CPD-19626	-425.518729	-425.18157958984375
CPD-19628	-386.229453	-385.2545166015625
CPD-19704	-304.775338	-307.2347412109375
CPD-19751	-361.56483	-363.16778564453125
CPD-19752	-481.888271	-481.6264953613281
CPD-19956	-425.519699	-425.5390319824219
CPD-19958	-346.938388	-343.41912841796875
CPD-20037	-350.069462	-351.0246887207031
CPD-20950	-325.861628	-324.4429016113281
CPD-20998	-312.159175	-312.2192077636719
CPD-2301	-473.934966	-475.55303955078125
CPD-259	-362.759822	-361.1813659667969
CPD-28	-398.709215	-398.2536315917969
CPD-282	-308.591213	-303.27703857421875
CPD-298	-362.978421	-369.298095703125
CPD-30	-440.373315	-440.556396484375
CPD-347	-269.498456	-267.46795654296875
CPD-3573	-381.66722	-380.93511962890625
CPD-358	-268.316982	-265.59716796875
CPD-3621	-382.858645	-377.1738586425781
CPD-3633	-492.38865	-491.0576171875
CPD-3642	-402.27633	-400.5528259277344
CPD-371	-389.556537	-389.6728820800781
CPD-395	-346.695744	-350.5386962890625
CPD-400	-421.921144	-424.0459289550781
CPD-434	-378.817872	-379.2521057128906
CPD-4864	-211.324525	-211.6505126953125
CPD-54	-281.532762	-282.73651123046875
CPD-581	-248.459383	-247.11936950683594
CPD-586	-327.060099	-327.4391784667969
CPD-594	-472.492228	-470.4925537109375
CPD-60	-301.424079	-300.405029296875
CPD-6141	-362.978786	-365.62469482421875
CPD-6142	-402.262971	-400.1451721191406
CPD-623	-382.640636	-381.6275634765625
CPD-665	-193.102798	-196.28443908691406
CPD-68	-361.767103	-363.25439453125
CPD-7000	-232.394589	-232.8213653564453
CPD-7024	-420.706223	-422.1693420410156
CPD-7031	-271.685015	-271.5028076171875
CPD-7032	-272.869568	-271.75555419921875
CPD-7035	-385.989506	-387.1308288574219
CPD-7366	-402.058658	-403.1272888183594
CPD-7399	-466.324027	-466.64453125
CPD-7620	-350.265851	-351.9483642578125
CPD-809	-393.937268	-392.0032958984375
CPD-8130	-457.864162	-459.27105712890625
CPD-8773	-384.816398	-384.3280944824219
CPD-8774	-384.815299	-384.1747741699219
CPD-8780	-444.764935	-442.79620361328125
CPD-883	-365.148586	-364.3125915527344
CPD-8860	-172.032826	-172.83517456054688
CPD-8862	-250.614891	-250.15432739257812
CPD-8864	-303.565675	-301.8484802246094
CPD-8871	-331.440449	-332.6944580078125
CPD-8879	-345.733546	-347.16845703125
CPD-8887	-227.825074	-228.56727600097656
CPD-8891	-269.508213	-266.81390380859375
CPD-8923	-235.758349	-236.51882934570312
CPD-904	-440.360487	-439.2330322265625
CPD-9052	-345.707696	-341.6254577636719
CPD-9053	-271.684489	-269.762939453125
CPD-9057	-351.451614	-354.6745300292969
CPD-9060	-361.562566	-361.4909973144531
CPD-9078	-385.02122	-385.54632568359375
CPD-9080	-424.311109	-424.80828857421875
CPD-9081	-385.020418	-386.209716796875
CPD-9107	-342.883658	-342.5216979980469
CPD-9130	-402.057257	-403.43243408203125
CPD-9147	-402.058242	-403.1693420410156
CPD-9284	-354.822325	-357.0597229003906
CPD-9285	-197.659721	-197.70413208007812
CPD-9286	-276.241061	-277.6209411621094
CPD-9288	-236.950436	-234.75477600097656
CPD-9312	-79.787269	-81.09530639648438
CPD-9334	-410.958658	-412.4710388183594
CPD-9357	-430.372679	-430.4028015136719
CPD-9383	-323.684119	-324.42608642578125
CPD0-1059	-441.558609	-439.45953369140625
CPD0-1232	-287.755519	-289.6748046875
CPD0-1307	-271.697004	-273.10675048828125
CPD0-1327	-514.02785	-511.85595703125
CPD0-1349	-383.817177	-382.3016357421875
CPD0-1491	-297.583688	-296.1064453125
CPD0-1652	-265.467001	-263.7537841796875
CPD0-1678	-271.687368	-270.87005615234375
CPD0-1682	-307.589116	-308.258056640625
CPD0-1952	-362.98614	-362.65631103515625
CPD0-2018	-434.188237	-435.6410217285156
CPD0-2053	-420.962493	-421.01776123046875
CPD0-2167	-497.339848	-495.1456604003906
CPD0-2276	-362.980507	-366.353515625
CPD0-2357	-343.32225	-345.7078857421875
CPD0-2360	-350.068341	-352.2086181640625
CPD0-2375	-513.420012	-510.28546142578125
CPD0-2414	-307.612431	-303.4115905761719
CPD0-2527	-402.039287	-402.8968505859375
CPD0-903	-439.218642	-439.2584533691406
CREATINE	-472.484553	-470.02081298828125
CREATININE	-396.07255	-396.6363220214844
CYANURIC-ACID	-506.120828	-504.0998840332031
CYCLOHEXANE-13-DIONE	-383.829851	-386.2728271484375
CYCLOHEXANOL	-310.975523	-315.67852783203125
CYCLOHEXANONE	-309.7945	-307.19293212890625
CYCLOPENTANOL	-271.678618	-274.29278564453125
CYCLOPENTANONE	-270.501576	-266.255859375
CYTOSINE	-394.893393	-396.77093505859375
D-ALANINE	-323.695493	-317.1347961425781
D-ERYTHRULOSE	-458.048815	-455.8628234863281
D-PROLINE	-401.077579	-400.43389892578125
DI-H-URACIL	-415.983106	-413.67852783203125
DIACETYL	-306.43831	-302.97186279296875
DIETHYLETHER	-233.578016	-227.61000061035156
DIHYDROXYACETONE	-343.524104	-331.532470703125
DIHYDROXYPENTANEDIONE	-496.156898	-494.054931640625
DIHYDROXYPIRIDIN-CPD	-398.69047	-395.35137939453125
DIMETHYL-GLYCINE	-362.969586	-368.7158508300781
DIOXOPIPERAZINE	-415.962164	-416.7620849609375
DIPROPYLETHER	-312.159319	-315.1396789550781
ERYTHRITOL	-459.229536	-458.8189697265625
ERYTHROSE	-458.043037	-456.5638122558594
ETHYL-ACETOACETATE	-460.262438	-458.810546875
ETHYLACETATE	-307.647075	-306.78057861328125
ETHYLBENZENE	-310.778386	-316.48583984375
ETOH	-154.998148	-159.7556610107422
FORMALDEHYDE	-114.505268	-115.03411865234375
FORMAMIDE	-169.885594	-163.75320434570312
GLUTARIMIDE	-399.922941	-401.3755187988281
GLY	-284.40095	-277.86383056640625
GLYCERALD	-343.533909	-339.2054138183594
GLYCEROL	-344.719856	-340.35003662109375
GLYCOL	-230.211195	-231.16098022460938
GLYCOLALDEHYDE	-229.019918	-228.9192657470703
GLYCYLGLYCINE	-492.362185	-490.9694519042969
GUANIDOACETIC_ACID	-433.201838	-429.91766357421875
HCN	-93.431246	-91.31085205078125
HEXANAL	-310.97521	-309.8995056152344
HEXANOL-CMPD	-312.160938	-312.3912353515625
HOMO-SER	-438.199233	-436.4311218261719
HYDANTOIN	-376.691657	-370.5195617675781
HYDROQUINONE	-382.638332	-378.6036682128906
HYDROXYPROPANAL	-268.312338	-271.14886474609375
IMIDAZOLE-RING	-226.187104	-225.69956970214844
IMIDAZOLE_ACETALDEHYDE	-378.802769	-382.8323059082031
INDOLE	-363.744209	-368.1270751953125
ISO-PROPANOL	-194.294663	-202.95748901367188
ISOBUTANOL	-233.581067	-232.7870635986328
ISOBUTYRAMIDE	-287.770224	-285.349853515625
MALEIMIDE	-359.417566	-358.651123046875
MEK	-232.408256	-233.36802673339844
META-XYLENE	-310.786957	-317.7927551269531
METHYL-ACETATE	-268.351214	-265.605224609375
METHYL-GLYOXAL	-267.132534	-261.90966796875
METOH	-115.701876	-110.97012329101562
N-CYCLOHEXYLFORMAMIDE	-404.441178	-402.77691650390625
N-ETHYLMALEIMIDE	-438.002446	-437.30072021484375
N-FORMIMINO-GLYCINE	-377.845845	-377.7493591308594
N-METHYLANILINE	-326.821626	-330.53594970703125
N-METHYLHEXANAMIDE	-405.636959	-405.20867919921875
N-METHYLHYDANTOIN	-415.980929	-414.1421813964844
NIACINAMIDE	-416.933921	-419.8406066894531
NN-DIMETHYLANILINE	-366.103239	-367.767822265625
OCTANOL	-390.742218	-393.30010986328125
OH-CH3-SER	-513.41743	-509.2471923828125
ORCINOL-CPD	-421.937794	-423.5384826660156
PENTAN-2-ONE	-271.699054	-273.5022277832031
PENTANOL	-272.870294	-271.738037109375
PHENOL	-307.416622	-309.442138671875
PHENYL	-384.817607	-385.5987548828125
PHENYLACETALDEHYDE	-384.803747	-387.2463073730469
PHENYLACETONITRILE	-363.731488	-367.3649597167969
PROPANOL	-194.28893	-196.87759399414062
PROPIONAMIDE	-248.478935	-246.5479278564453
PSEUDOCUMENE	-350.079764	-355.7507019042969
PURINE	-411.905892	-414.6558532714844
PYRAZINAMIDE	-432.983823	-436.42523193359375
PYRAZOLE	-226.170637	-229.18307495117188
PYRIDINE	-248.239325	-245.17691040039062
PYRIMIDINE-RING	-264.289179	-254.7734375
PYROGALLOL	-457.862767	-459.52740478515625
S-12-EPOXYPROPANE	-193.065979	-191.766845703125
SALICYLALDEHYDE	-420.741177	-421.6460876464844
SARCOSINE	-323.684532	-318.28778076171875
SER	-398.907888	-398.7475280761719
SUCCIMIDE	-360.633206	-356.2877197265625
THYMINE	-454.090379	-454.9642028808594
TOLUENE	-271.490149	-276.662841796875
URACIL	-414.792566	-415.10174560546875
UREA	-225.247724	-224.0261688232422
URETHAN	-323.710041	-318.1299133300781
WATER	-76.422349	-72.34097290039062
